"X","M3","M6","M9","M12","M15","M18","M21","M24","M27","M30","M33","M36","M39","M42","M45","M48"
"All / Reunification",4.4,6.45,8.97,10.36,11.65,13.08,14.2,15.23,15.76,16.42,16.42,17.64,18.07,18.57,19.07,19.23
"All / Adoption",0.49,1.1,1.47,1.59,1.71,1.71,1.77,1.77,1.77,1.77,1.77,1.77,1.9,1.9,1.9,1.9
"All / Guardianship",1.19,2.37,4.15,4.45,5.34,5.93,7.27,7.42,8.16,8.46,8.46,8.75,9.05,9.5,9.64,10.09
"King / Reunification",5.43,7.16,7.9,9.14,10.86,12.1,14.07,14.81,14.81,15.31,15.31,16.05,16.3,16.3,17.04,17.04
"King / Adoption",0.74,0.74,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
"King / Guardianship",1.79,4.46,6.25,7.14,8.04,8.93,10.71,10.71,11.61,11.61,11.61,11.61,11.61,12.5,12.5,12.5
"Pierce / Reunification",2.57,5.14,9.59,11.47,13.01,14.21,14.55,16.27,17.29,17.64,17.64,19.01,19.18,19.52,19.86,20.38
"Pierce / Adoption",0.62,1.23,1.23,1.85,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47
"Pierce / Guardianship",1.22,2.44,7.32,7.32,7.32,8.54,9.76,9.76,9.76,10.98,10.98,10.98,10.98,12.2,12.2,12.2
